Work ID,Work Name,Month,Region,Status,Latitude,Longitude,Budget,Actual,Completion,Risk
WO-1001,Pump Station Inspection,2026-01-01,North,On Track,29.88,-95.4,120000,95000,78,28
WO-1002,Sewer Cleaning,2026-01-01,East,Complete,29.76,-95.25,85000,82000,100,15
WO-1003,Valve Replacement,2026-01-01,West,At Risk,29.78,-95.62,160000,145000,62,68
WO-1004,Lift Station Upgrade,2026-02-01,South,Delayed,29.62,-95.39,240000,210000,48,82
WO-1005,CCTV Inspection,2026-02-01,Central,On Track,29.75,-95.37,110000,76000,71,35
WO-1006,Main Repair,2026-02-01,East,Complete,29.72,-95.22,190000,184000,100,18
WO-1007,Manhole Rehabilitation,2026-03-01,North,At Risk,29.91,-95.46,135000,121000,58,72
WO-1008,Force Main Study,2026-03-01,West,On Track,29.79,-95.7,95000,63000,66,41
WO-1009,Pump Replacement,2026-03-01,South,Delayed,29.59,-95.32,280000,252000,45,88
WO-1010,Sewer Cleaning,2026-04-01,Central,Complete,29.74,-95.34,90000,86000,100,12
WO-1011,Basin Inspection,2026-04-01,East,On Track,29.8,-95.18,125000,92000,74,32
WO-1012,Emergency Repair,2026-04-01,North,At Risk,29.95,-95.38,175000,169000,69,76
WO-1013,Control Panel Upgrade,2026-05-01,West,On Track,29.81,-95.66,205000,151000,73,39
WO-1014,Wet Well Cleaning,2026-05-01,South,Complete,29.64,-95.28,75000,72000,100,14
WO-1015,Pipe Rehabilitation,2026-05-01,Central,At Risk,29.73,-95.42,310000,274000,57,79
WO-1016,Odor Control Upgrade,2026-06-01,East,Delayed,29.77,-95.2,230000,198000,52,84
WO-1017,Flow Meter Installation,2026-06-01,North,On Track,29.89,-95.35,145000,101000,76,33
WO-1018,Trunk Line Assessment,2026-06-01,West,Complete,29.76,-95.58,155000,149000,100,17
