applicationid,applicationdate,weekday,weekdayorder,hourbucket,hourorder,candidate,gender,city,roleid,roletitle,department,stage,source,score,period,applicationcount
APP-0001,2026-07-01,Mon,1,8:00,8,Candidate 001,Female,New York,ENG-201,Senior Android Developer,Engineering,Applied,LinkedIn,74,Current,1
APP-0002,2026-07-02,Tue,2,9:00,9,Candidate 002,Male,Chicago,DSN-104,UX/UI Designer,Design,Finalised,Referral,73,Current,1
APP-0003,2026-07-03,Wed,3,10:00,10,Candidate 003,Non-binary,Austin,OPS-310,Recruiting Operations Lead,People,Rejected,Careers site,61,Current,1
APP-0004,2026-07-04,Thu,4,11:00,11,Candidate 004,Female,Seattle,DAT-412,Analytics Engineer,Data,On Hold,Agency,62,Current,1
APP-0005,2026-07-05,Fri,5,12:00,12,Candidate 005,Male,Denver,PM-225,Product Manager,Product,On Hold,LinkedIn,72,Current,1
APP-0006,2026-07-06,Sat,6,13:00,13,Candidate 006,Non-binary,New York,ENG-201,Senior Android Developer,Engineering,Shortlisted,Referral,95,Current,1
APP-0007,2026-07-07,Sun,7,14:00,14,Candidate 007,Female,Chicago,DSN-104,UX/UI Designer,Design,Applied,Careers site,55,Current,1
APP-0008,2026-07-01,Mon,1,8:00,8,Candidate 008,Male,Austin,OPS-310,Recruiting Operations Lead,People,Applied,Agency,81,Current,1
APP-0009,2026-07-02,Tue,2,9:00,9,Candidate 009,Non-binary,Seattle,DAT-412,Analytics Engineer,Data,Applied,LinkedIn,93,Current,1
APP-0010,2026-07-03,Wed,3,10:00,10,Candidate 010,Female,Denver,PM-225,Product Manager,Product,Shortlisted,Referral,64,Current,1
APP-0011,2026-07-04,Thu,4,11:00,11,Candidate 011,Male,New York,ENG-201,Senior Android Developer,Engineering,Applied,Careers site,72,Current,1
APP-0012,2026-07-05,Fri,5,12:00,12,Candidate 012,Non-binary,Chicago,DSN-104,UX/UI Designer,Design,Applied,Agency,77,Current,1
APP-0013,2026-07-06,Sat,6,13:00,13,Candidate 013,Female,Austin,OPS-310,Recruiting Operations Lead,People,On Hold,LinkedIn,94,Current,1
APP-0014,2026-07-07,Sun,7,14:00,14,Candidate 014,Male,Seattle,DAT-412,Analytics Engineer,Data,Shortlisted,Referral,58,Current,1
APP-0015,2026-07-01,Mon,1,8:00,8,Candidate 015,Non-binary,Denver,PM-225,Product Manager,Product,Applied,Careers site,76,Current,1
APP-0016,2026-07-02,Tue,2,9:00,9,Candidate 016,Female,New York,ENG-201,Senior Android Developer,Engineering,Rejected,Agency,86,Current,1
APP-0017,2026-07-03,Wed,3,10:00,10,Candidate 017,Male,Chicago,DSN-104,UX/UI Designer,Design,Shortlisted,LinkedIn,83,Current,1
APP-0018,2026-07-04,Thu,4,11:00,11,Candidate 018,Non-binary,Austin,OPS-310,Recruiting Operations Lead,People,Applied,Referral,92,Current,1
APP-0019,2026-07-05,Fri,5,12:00,12,Candidate 019,Female,Seattle,DAT-412,Analytics Engineer,Data,Applied,Careers site,63,Current,1
APP-0020,2026-07-06,Sat,6,13:00,13,Candidate 020,Male,Denver,PM-225,Product Manager,Product,Rejected,Agency,71,Current,1
APP-0021,2026-07-07,Sun,7,14:00,14,Candidate 021,Non-binary,New York,ENG-201,Senior Android Developer,Engineering,Applied,LinkedIn,97,Current,1
APP-0022,2026-07-01,Mon,1,8:00,8,Candidate 022,Female,Chicago,DSN-104,UX/UI Designer,Design,Applied,Referral,56,Current,1
APP-0023,2026-07-02,Tue,2,9:00,9,Candidate 023,Male,Austin,OPS-310,Recruiting Operations Lead,People,Applied,Careers site,58,Current,1
APP-0024,2026-07-03,Wed,3,10:00,10,Candidate 024,Non-binary,Seattle,DAT-412,Analytics Engineer,Data,Applied,Agency,71,Current,1
APP-0025,2026-07-04,Thu,4,11:00,11,Candidate 025,Female,Denver,PM-225,Product Manager,Product,Applied,LinkedIn,67,Current,1
APP-0026,2026-07-05,Fri,5,12:00,12,Candidate 026,Male,New York,ENG-201,Senior Android Developer,Engineering,Shortlisted,Referral,55,Current,1
APP-0027,2026-07-06,Sat,6,13:00,13,Candidate 027,Non-binary,Chicago,DSN-104,UX/UI Designer,Design,Finalised,Careers site,72,Current,1
APP-0028,2026-07-07,Sun,7,14:00,14,Candidate 028,Female,Austin,OPS-310,Recruiting Operations Lead,People,Applied,Agency,61,Current,1
APP-0029,2026-07-01,Mon,1,8:00,8,Candidate 029,Male,Seattle,DAT-412,Analytics Engineer,Data,On Hold,LinkedIn,77,Current,1
APP-0030,2026-07-02,Tue,2,9:00,9,Candidate 030,Non-binary,Denver,PM-225,Product Manager,Product,On Hold,Referral,84,Current,1
APP-0031,2026-07-03,Wed,3,10:00,10,Candidate 031,Female,New York,ENG-201,Senior Android Developer,Engineering,Shortlisted,Careers site,67,Current,1
APP-0032,2026-07-04,Thu,4,11:00,11,Candidate 032,Male,Chicago,DSN-104,UX/UI Designer,Design,Applied,Agency,61,Current,1
APP-0033,2026-07-05,Fri,5,12:00,12,Candidate 033,Non-binary,Austin,OPS-310,Recruiting Operations Lead,People,Applied,LinkedIn,89,Current,1
APP-0034,2026-07-06,Sat,6,13:00,13,Candidate 034,Female,Seattle,DAT-412,Analytics Engineer,Data,Rejected,Referral,98,Current,1
APP-0035,2026-07-07,Sun,7,14:00,14,Candidate 035,Male,Denver,PM-225,Product Manager,Product,Applied,Careers site,94,Current,1
APP-0036,2026-07-01,Mon,1,8:00,8,Candidate 036,Non-binary,New York,ENG-201,Senior Android Developer,Engineering,On Hold,Agency,95,Current,1
APP-0037,2026-07-02,Tue,2,9:00,9,Candidate 037,Female,Chicago,DSN-104,UX/UI Designer,Design,On Hold,LinkedIn,77,Current,1
APP-0038,2026-07-03,Wed,3,10:00,10,Candidate 038,Male,Austin,OPS-310,Recruiting Operations Lead,People,Applied,Referral,59,Current,1
APP-0039,2026-07-04,Thu,4,11:00,11,Candidate 039,Non-binary,Seattle,DAT-412,Analytics Engineer,Data,Finalised,Careers site,85,Current,1
APP-0040,2026-07-05,Fri,5,12:00,12,Candidate 040,Female,Denver,PM-225,Product Manager,Product,Rejected,Agency,79,Current,1
APP-0041,2026-07-06,Sat,6,13:00,13,Candidate 041,Male,New York,ENG-201,Senior Android Developer,Engineering,On Hold,LinkedIn,76,Current,1
APP-0042,2026-07-07,Sun,7,14:00,14,Candidate 042,Non-binary,Chicago,DSN-104,UX/UI Designer,Design,Applied,Referral,97,Current,1
APP-0043,2026-07-01,Mon,1,8:00,8,Candidate 043,Female,Austin,OPS-310,Recruiting Operations Lead,People,Applied,Careers site,85,Current,1
APP-0044,2026-07-02,Tue,2,9:00,9,Candidate 044,Male,Seattle,DAT-412,Analytics Engineer,Data,Finalised,Agency,55,Current,1
APP-0045,2026-07-03,Wed,3,10:00,10,Candidate 045,Non-binary,Denver,PM-225,Product Manager,Product,Shortlisted,LinkedIn,94,Current,1
APP-0046,2026-07-04,Thu,4,11:00,11,Candidate 046,Female,New York,ENG-201,Senior Android Developer,Engineering,Applied,Referral,70,Current,1
APP-0047,2026-07-05,Fri,5,12:00,12,Candidate 047,Male,Chicago,DSN-104,UX/UI Designer,Design,Rejected,Careers site,98,Current,1
APP-0048,2026-07-06,Sat,6,13:00,13,Candidate 048,Non-binary,Austin,OPS-310,Recruiting Operations Lead,People,Rejected,Agency,85,Current,1
