record_id,initiative,category,region,department,owner,status,priority,start_date,due_date,year,quarter,month,budget_usd,actual_usd,progress_pct,risk_score,latitude,longitude
REC-0001,Executive Reporting 283,Infrastructure,South,Finance,Taylor Brooks,In Progress,Medium,2025-04-23,2025-11-24,2025,Q4,Nov,2970189,1674813,54,42,34.190364,-118.210323
REC-0002,Process Standardization 491,Digital,South,Analytics,Jamie Kim,In Progress,High,2026-12-11,2027-02-22,2027,Q1,Feb,3421765,2681377,58,63,40.67259,-74.028212
REC-0003,Contract Renewal 665,Digital,East,Procurement,Morgan Lee,Not Started,High,2026-12-15,2027-06-30,2027,Q2,Jun,877726,1056112,4,48,40.938177,-74.153544
REC-0004,Contract Renewal 725,Compliance,Central,Facilities,Casey Nguyen,Not Started,High,2026-01-01,2026-02-11,2026,Q1,Feb,1246927,890474,3,70,39.560367,-105.513045
REC-0005,SLA Recovery Plan 984,Compliance,Central,IT,Owen Davis,Completed,Medium,2026-01-30,2026-09-13,2026,Q3,Sep,582207,327179,97,25,25.397103,-80.724655
REC-0006,Asset Lifecycle Review 457,Supply Chain,East,Customer Success,Casey Nguyen,Completed,High,2026-02-10,2026-04-15,2026,Q2,Apr,2803937,1796717,92,25,33.224049,-84.729438
REC-0007,Process Standardization 891,Finance,South,HR,Alex Chen,Completed,Critical,2026-09-05,2026-11-30,2026,Q4,Nov,1870814,1972604,96,42,29.652049,-95.020545
REC-0008,Revenue Leakage Review 249,Infrastructure,West,Finance,Avery Johnson,Completed,Medium,2026-12-16,2027-05-09,2027,Q2,May,1364424,684281,93,36,33.558568,-117.850657
REC-0009,Customer Portal Upgrade 400,Operations,North,HR,Priya Shah,Completed,Medium,2026-01-20,2026-03-23,2026,Q1,Mar,762320,381256,92,7,39.505674,-104.975219
REC-0010,Asset Lifecycle Review 918,Customer,Central,Procurement,Sam Rivera,At Risk,Low,2026-03-27,2026-09-22,2026,Q3,Sep,2890402,2691043,17,54,34.155533,-84.124812
REC-0011,Service Response Improvement 803,Finance,West,Analytics,Alex Chen,Completed,High,2026-10-25,2027-03-09,2027,Q1,Mar,1889723,2094393,99,20,34.184811,-84.295297
REC-0012,Compliance Readiness 534,Compliance,North,IT,Jamie Kim,Completed,Low,2025-08-27,2025-09-26,2025,Q3,Sep,2760599,1923313,99,1,25.914766,-79.958067
REC-0013,Executive Reporting 989,Operations,South,Operations,Taylor Brooks,Completed,High,2025-07-08,2025-11-18,2025,Q4,Nov,2713667,2195369,99,45,39.854206,-104.916883
REC-0014,Revenue Leakage Review 430,Operations,South,Analytics,Riley Patel,On Hold,Medium,2026-12-09,2027-08-08,2027,Q3,Aug,2253242,1506515,63,68,47.227823,-122.842761
REC-0015,Service Response Improvement 472,Infrastructure,North,Analytics,Morgan Lee,Pending Review,Medium,2025-07-03,2026-01-24,2026,Q1,Jan,1195937,1044466,65,63,47.887697,-122.069256
REC-0016,Asset Lifecycle Review 116,Digital,North,Operations,Morgan Lee,In Progress,Medium,2025-01-31,2025-10-07,2025,Q4,Oct,263820,235002,21,68,33.596685,-118.021534
