assetid,assettype,status,latitude,longitude,zone,route,tripdate,hour,distancekm,durationminutes,batterypct,demandindex,ridership
MOB-001,Scooter,Active,4.626801,-74.032253,Centro,R-1,2026-07-01,6,7.7,40,70,83,40
MOB-002,Bike,Charging,4.662254,-74.139557,San Miguel,R-2,2026-07-02,7,12.6,13,52,59,35
MOB-003,Shuttle,Maintenance,4.613319,-74.044933,La Esperanza,R-3,2026-07-03,8,9.6,31,20,94,58
MOB-004,Scooter,Active,4.677333,-74.122082,Universidad,R-4,2026-07-04,9,4.5,30,80,51,42
MOB-005,Bike,Charging,4.649703,-74.079674,Mercado,R-5,2026-07-05,10,11.8,43,63,64,43
MOB-006,Shuttle,Maintenance,4.629012,-74.063147,Centro,R-6,2026-07-06,11,5.2,57,80,53,41
MOB-007,Scooter,Active,4.652917,-74.062662,San Miguel,R-7,2026-07-07,12,2.5,49,58,54,51
MOB-008,Bike,Charging,4.643557,-74.042716,La Esperanza,R-1,2026-07-08,13,8.9,22,38,61,57
MOB-009,Shuttle,Maintenance,4.622545,-74.076458,Universidad,R-2,2026-07-09,14,8,14,64,75,76
MOB-010,Scooter,Active,4.609781,-74.069919,Mercado,R-3,2026-07-10,15,4.4,53,55,83,14
MOB-011,Bike,Charging,4.624164,-74.027291,Centro,R-4,2026-07-11,16,10.8,12,66,79,72
MOB-012,Shuttle,Maintenance,4.665124,-74.131163,San Miguel,R-5,2026-07-12,17,7.4,47,53,58,43
MOB-013,Scooter,Active,4.636537,-74.038245,La Esperanza,R-6,2026-07-13,18,7.4,19,42,82,7
MOB-014,Bike,Charging,4.655116,-74.034729,Universidad,R-7,2026-07-14,19,1.5,45,55,95,15
MOB-015,Shuttle,Maintenance,4.663631,-74.075946,Mercado,R-1,2026-07-01,20,10.3,46,61,63,75
MOB-016,Scooter,Active,4.601303,-74.096427,Centro,R-2,2026-07-02,21,15.4,22,98,55,20
MOB-017,Bike,Charging,4.642708,-74.140629,San Miguel,R-3,2026-07-03,6,3.1,15,69,58,4
MOB-018,Shuttle,Maintenance,4.65659,-74.12574,La Esperanza,R-4,2026-07-04,7,5.4,19,68,89,53
MOB-019,Scooter,Active,4.682528,-74.102586,Universidad,R-5,2026-07-05,8,13.2,11,37,95,45
MOB-020,Bike,Charging,4.67732,-74.131502,Mercado,R-6,2026-07-06,9,7.6,58,87,87,29
MOB-021,Shuttle,Maintenance,4.629469,-74.034643,Centro,R-7,2026-07-07,10,4.4,24,72,79,78
MOB-022,Scooter,Active,4.680388,-74.122863,San Miguel,R-1,2026-07-08,11,3.9,30,81,66,19
MOB-023,Bike,Charging,4.635046,-74.132805,La Esperanza,R-2,2026-07-09,12,3.9,24,34,96,59
MOB-024,Shuttle,Maintenance,4.595975,-74.047772,Universidad,R-3,2026-07-10,13,1.8,54,21,81,30
MOB-025,Scooter,Active,4.604335,-74.118225,Mercado,R-4,2026-07-11,14,9.1,11,50,47,4
MOB-026,Bike,Charging,4.639315,-74.059838,Centro,R-5,2026-07-12,15,11,10,91,95,76
MOB-027,Shuttle,Maintenance,4.682143,-74.075549,San Miguel,R-6,2026-07-13,16,15,8,58,55,51
MOB-028,Scooter,Active,4.652888,-74.12773,La Esperanza,R-7,2026-07-14,17,6.1,9,54,85,55
MOB-029,Bike,Charging,4.615804,-74.04803,Universidad,R-1,2026-07-01,18,11.1,49,56,92,55
MOB-030,Shuttle,Maintenance,4.625832,-74.031816,Mercado,R-2,2026-07-02,19,13.8,52,80,61,64
MOB-031,Scooter,Active,4.596164,-74.121124,Centro,R-3,2026-07-03,20,14.1,27,82,89,28
MOB-032,Bike,Charging,4.67983,-74.1429,San Miguel,R-4,2026-07-04,21,13,40,52,45,58
MOB-033,Shuttle,Maintenance,4.600192,-74.065971,La Esperanza,R-5,2026-07-05,6,14.6,12,72,70,42
MOB-034,Scooter,Active,4.592415,-74.100333,Universidad,R-6,2026-07-06,7,4,22,47,79,62
MOB-035,Bike,Charging,4.625435,-74.024861,Mercado,R-7,2026-07-07,8,3.9,53,62,66,36
MOB-036,Shuttle,Maintenance,4.644331,-74.033823,Centro,R-1,2026-07-08,9,13.2,32,99,98,54
MOB-037,Scooter,Active,4.621906,-74.124859,San Miguel,R-2,2026-07-09,10,7,28,52,67,72
MOB-038,Bike,Charging,4.654342,-74.11753,La Esperanza,R-3,2026-07-10,11,11.6,28,92,91,19
