RecordID,CaseNumber,ReportDate,MonthLabel,MonthIndex,Quarter,FiscalYear,Weekday,Department,Program,ServiceType,Category,Status,Stage,Priority,RiskBand,Region,CouncilDistrict,Neighborhood,Owner,Team,Vendor,Channel,AssetType,AssetID,Description,Latitude,Longitude,Budget,ActualCost,Variance,ProgressPct,RiskScore,ResponseHours,TargetHours,DurationDays,SatisfactionScore,WithinSLA,Overdue,OpenFlag,IncidentCount,WorkOrderCount,Quantity,AssetAge,Severity,TargetPct
HOU-0001,SR-2025-00001,2025-02-02,2025-02 Feb,202502,Q1 2025,FY2025,Sunday,Solid Waste,Fleet Support,Preventive Maintenance,Solid Waste / Fleet Support,In Progress,Field Work,Medium,Moderate,Southwest,J,Braeburn,I. Wilson,Rapid Response,Bayou Services,Citizen App,Collection Vehicle,COL-10001,Medium fleet support case in Braeburn,29.663528,-95.500027,21043.32,11751.43,-9291.89,49,45,23.6,48,18,4.6,Yes,Yes,1,1,1,27,2,3,90
HOU-0002,SR-2025-00002,2025-02-25,2025-02 Feb,202502,Q1 2025,FY2025,Tuesday,Transportation,Mobility Safety,Inspection,Transportation / Mobility Safety,Complete,Closed,Medium,High,Northwest,A,Spring Branch,D. Patel,Rapid Response,Gulf Infrastructure,Field Inspection,Intersection,INT-10002,Medium mobility safety case in Spring Branch,29.802968,-95.480739,38197.62,36048.09,-2149.53,100,65,24.4,48,6,4.4,Yes,No,0,1,2,5,49,3,90
HOU-0003,SR-2025-00003,2025-03-04,2025-03 Mar,202503,Q1 2025,FY2025,Tuesday,Emergency Management,Public Alerts,Customer Service,Emergency Management / Public Alerts,Complete,Closed,Medium,High,Northwest,A,Spring Branch,F. Brown,North Team,Lone Star Operations,311,Alert Zone,ALE-10003,Medium public alerts case in Spring Branch,29.81012,-95.494498,6582.74,5305.23,-1277.51,95,72,112.1,48,28,2.2,No,No,0,1,2,9,36,3,90
HOU-0004,SR-2025-00004,2025-03-17,2025-03 Mar,202503,Q1 2025,FY2025,Monday,Emergency Management,Public Alerts,Customer Service,Emergency Management / Public Alerts,In Progress,Field Work,Medium,Low,Central,D,Midtown,G. Davis,South Team,City Crew,Internal Audit,Alert Zone,ALE-10004,Medium public alerts case in Midtown,29.727579,-95.397238,20785.0,8561.57,-12223.43,48,27,91.6,48,27,3.7,No,Yes,1,1,1,14,1,3,90
HOU-0005,SR-2025-00005,2025-04-06,2025-04 Apr,202504,Q2 2025,FY2025,Sunday,Public Works,Traffic Signal Support,Inspection,Public Works / Traffic Signal Support,Complete,Closed,Critical,Extreme,Southwest,J,Braeburn,J. Martinez,West Team,Lone Star Operations,Field Inspection,Traffic Signal,TRA-10005,Critical traffic signal support case in Braeburn,29.670175,-95.480835,61634.35,59960.14,-1674.21,100,90,2.6,4,12,4.7,Yes,No,0,1,3,10,29,5,90
HOU-0006,SR-2025-00006,2025-04-17,2025-04 Apr,202504,Q2 2025,FY2025,Thursday,Parks & Recreation,Facility Repair,Corrective Maintenance,Parks & Recreation / Facility Repair,In Progress,Field Work,High,High,Southeast,E,Clear Lake,G. Davis,Rapid Response,Bayou Services,Citizen App,Recreation Facility,REC-10006,High facility repair case in Clear Lake,29.59664,-95.125913,39989.46,21919.27,-18070.19,54,60,10.5,12,12,4.1,Yes,Yes,1,1,2,7,19,4,90
HOU-0007,SR-2025-00007,2025-05-05,2025-05 May,202505,Q2 2025,FY2025,Monday,Emergency Management,Flood Readiness,Inspection,Emergency Management / Flood Readiness,New,Triage,High,Moderate,Southwest,F,Alief,F. Brown,Central Team,Gulf Infrastructure,Field Inspection,Flood Asset,FLO-10007,High flood readiness case in Alief,29.68197,-95.579591,19075.52,2226.66,-16848.86,0,58,19.6,12,20,3.4,No,Yes,1,1,1,3,22,4,90
HOU-0008,SR-2025-00008,2025-05-30,2025-05 May,202505,Q2 2025,FY2025,Friday,Emergency Management,Incident Coordination,Emergency Response,Emergency Management / Incident Coordination,New,Triage,Medium,Moderate,South,D,Sunnyside,J. Martinez,Rapid Response,Gulf Infrastructure,311,Incident Site,INC-10008,Medium incident coordination case in Sunnyside,29.67532,-95.355227,5831.17,610.34,-5220.83,3,57,74.6,48,21,2.5,No,Yes,1,1,1,8,17,3,90
HOU-0009,SR-2025-00009,2025-06-09,2025-06 Jun,202506,Q2 2025,FY2025,Monday,Public Works,Street Repair,Corrective Maintenance,Public Works / Street Repair,New,Triage,High,High,North,B,IAH Area,D. Patel,North Team,Metro Field Group,Sensor Alert,Street Segment,STR-10009,High street repair case in IAH Area,29.991036,-95.361339,30414.32,3137.14,-27277.18,9,61,5.5,12,8,5,Yes,Yes,1,1,2,27,16,4,90
HOU-0010,SR-2025-00010,2025-06-22,2025-06 Jun,202506,Q2 2025,FY2025,Sunday,Solid Waste,Illegal Dumping,Enforcement,Solid Waste / Illegal Dumping,New,Triage,Medium,Moderate,Northwest,A,Spring Branch,G. Davis,Rapid Response,Lone Star Operations,311,Dumping Site,DUM-10010,Medium illegal dumping case in Spring Branch,29.815379,-95.493498,24665.7,2083.17,-22582.53,6,36,28.3,48,13,4.5,Yes,Yes,1,1,1,6,23,3,90
HOU-0011,SR-2025-00011,2025-07-25,2025-07 Jul,202507,Q3 2025,FY2026,Friday,Emergency Management,Incident Coordination,Emergency Response,Emergency Management / Incident Coordination,Assigned,Assignment,High,Extreme,Central,D,Midtown,C. Garcia,North Team,Gulf Infrastructure,311,Incident Site,INC-10011,High incident coordination case in Midtown,29.751904,-95.363237,28821.5,6411.33,-22410.17,24,81,3.8,12,14,4.2,Yes,Yes,1,1,2,5,4,4,90
HOU-0012,SR-2025-00012,2025-08-10,2025-08 Aug,202508,Q3 2025,FY2026,Sunday,Transportation,Signal Timing,Optimization,Transportation / Signal Timing,In Progress,Field Work,Medium,Low,West,F,Westchase,F. Brown,West Team,Gulf Infrastructure,Sensor Alert,Traffic Signal,TRA-10012,Medium signal timing case in Westchase,29.73783,-95.590754,19443.68,12937.07,-6506.61,58,18,16.6,48,24,3.1,Yes,Yes,1,1,1,8,5,3,90
