recordtype,recordid,date,dayorder,medium,channel,conversions,conversionrate,sessions,newuserspct,sessionsperuser,engagementseconds,pagespersession,bouncerate,location,latitude,longitude,mentions
Summary,SUMMARY,,,,,229,0.009,26900,0.803,1.14,59,1.47,82.5,,,,
Daily,DAY-1,2026-11-10,1,,Radio,75,0.0129,5069,,,,,,,,,4656
Daily,DAY-2,2026-11-11,2,,TV,81,0.0096,2112,,,,,,,,,2456
Daily,DAY-3,2026-11-12,3,,Outdoor,48,0.0084,3890,,,,,,,,,4938
Daily,DAY-4,2026-11-13,4,,Web,55,0.022,3361,,,,,,,,,1002
Daily,DAY-5,2026-11-14,5,,Radio,114,0.0053,3539,,,,,,,,,3553
Daily,DAY-6,2026-11-15,6,,TV,44,0.0142,2717,,,,,,,,,5150
Daily,DAY-7,2026-11-16,7,,Outdoor,36,0.0178,4347,,,,,,,,,5098
Daily,DAY-8,2026-11-17,8,,Web,36,0.0166,4604,,,,,,,,,3990
Daily,DAY-9,2026-11-18,9,,Radio,69,0.0061,5164,,,,,,,,,840
Daily,DAY-10,2026-11-19,10,,TV,51,0.0112,2442,,,,,,,,,1502
Daily,DAY-11,2026-11-20,11,,Outdoor,43,0.0052,2598,,,,,,,,,2225
Daily,DAY-12,2026-11-21,12,,Web,39,0.0158,4560,,,,,,,,,5346
Daily,DAY-13,2026-11-22,13,,Radio,105,0.0229,2191,,,,,,,,,1059
Daily,DAY-14,2026-11-23,14,,TV,79,0.0055,3627,,,,,,,,,2155
Daily,DAY-15,2026-11-24,15,,Outdoor,98,0.0174,1919,,,,,,,,,3595
Daily,DAY-16,2026-11-25,16,,Web,82,0.0226,4817,,,,,,,,,2096
Daily,DAY-17,2026-11-26,17,,Radio,112,0.0184,2013,,,,,,,,,5090
Daily,DAY-18,2026-11-27,18,,TV,40,0.0126,4691,,,,,,,,,938
Daily,DAY-19,2026-11-28,19,,Outdoor,68,0.019,5103,,,,,,,,,1465
Daily,DAY-20,2026-11-29,20,,Web,105,0.0243,3607,,,,,,,,,2194
Daily,DAY-21,2026-11-30,21,,Radio,88,0.0117,3097,,,,,,,,,1240
Daily,DAY-22,2026-12-01,22,,TV,82,0.0053,4857,,,,,,,,,2754
Daily,DAY-23,2026-12-02,23,,Outdoor,43,0.0148,4774,,,,,,,,,964
Daily,DAY-24,2026-12-03,24,,Web,39,0.0046,4128,,,,,,,,,1811
Daily,DAY-25,2026-12-04,25,,Radio,51,0.0236,3309,,,,,,,,,2330
Daily,DAY-26,2026-12-05,26,,TV,95,0.0142,5281,,,,,,,,,866
Daily,DAY-27,2026-12-06,27,,Outdoor,81,0.0176,2520,,,,,,,,,1977
Daily,DAY-28,2026-12-07,28,,Web,111,0.0216,4871,,,,,,,,,4024
Medium,MED-1,,,organic,,97,0.006,17300,,,,,,,,,
Medium,MED-2,,,cpc,,49,0.06,1333,,,,,,,,,
Medium,MED-3,,,referral,,31,0.031,1009,,,,,,,,,
Medium,MED-4,,,p_social,,3,0.037,87,,,,,,,,,
Medium,MED-5,,,(none),,49,0.007,6603,,,,,,,,,
Location,LOC-1,,,,,,,6800,,,,,,Chicago,41.8781,-87.6298,
Location,LOC-2,,,,,,,4900,,,,,,London,51.5072,-0.1276,
Location,LOC-3,,,,,,,3300,,,,,,Singapore,1.3521,103.8198,
Location,LOC-4,,,,,,,5200,,,,,,San Francisco,37.7749,-122.4194,
