recordtype,recordid,date,month,monthorder,customer,product,category,channel,revenue,expense,tax,orderstatus,provider,dueamount,duedate,balance,dailyusers,newproducts
Summary,SUMMARY,,,,,,,,278000000,219000,,,,,,9470000,4215,548
Order,ORD-1000,2026-07-01,Jan,1,Customer 1,Surface Studio,Hardware,Online,36381,19712,2487,Complete,,,,,,
Order,ORD-1001,2026-07-02,Feb,2,Customer 2,Travel Pack,Software,Retail,63958,11820,2001,Processing,,,,,,
Order,ORD-1002,2026-07-03,Mar,3,Customer 3,Smart Display,Services,Partner,67293,10218,4118,Pending,,,,,,
Order,ORD-1003,2026-07-04,Apr,4,Customer 4,Wireless Hub,Accessories,Online,69411,10960,2260,Complete,,,,,,
Order,ORD-1004,2026-07-05,May,5,Customer 5,Design Suite,Hardware,Retail,49344,11145,2053,Processing,,,,,,
Order,ORD-1005,2026-07-06,Jun,6,Customer 6,Surface Studio,Software,Partner,56563,8042,5328,Pending,,,,,,
Order,ORD-1006,2026-07-07,Jul,7,Customer 7,Travel Pack,Services,Online,62461,12106,5358,Complete,,,,,,
Order,ORD-1007,2026-07-08,Aug,8,Customer 8,Smart Display,Accessories,Retail,22099,14654,5588,Processing,,,,,,
Order,ORD-1008,2026-07-09,Sep,9,Customer 9,Wireless Hub,Hardware,Partner,48364,8415,3808,Pending,,,,,,
Order,ORD-1009,2026-07-10,Oct,10,Customer 10,Design Suite,Software,Online,19872,21094,2006,Complete,,,,,,
Order,ORD-1010,2026-07-11,Nov,11,Customer 11,Surface Studio,Services,Retail,38125,6435,2345,Processing,,,,,,
Order,ORD-1011,2026-07-12,Dec,12,Customer 12,Travel Pack,Accessories,Partner,23915,13119,2182,Pending,,,,,,
Order,ORD-1012,2026-07-13,Jan,1,Customer 13,Smart Display,Hardware,Online,25876,10297,2126,Complete,,,,,,
Order,ORD-1013,2026-07-14,Feb,2,Customer 14,Wireless Hub,Software,Retail,67901,9116,4092,Processing,,,,,,
Order,ORD-1014,2026-07-15,Mar,3,Customer 15,Design Suite,Services,Partner,25774,14208,1531,Pending,,,,,,
